Paguina,Modelo,Tallas,Precio
3,NOE,M.L.XL.2XL.3XL,850
3,PILOTO,M.L.XL.2XL,1000
4,JK,M.L.XL.2XL.3XL,900
4,DIEGO,M.L.XL.2L.3XL,900
5,SANTIAGO,M.L.XL.2XL.3XL,750
5,TONIS,38-46,1300
5,MONTANA,M.L.XL.XXL.3XL,750
6,ALEXANDER,M.L.XL.XXL.3XL,900
6,POLO,38-46,1700
7,Canelo,M.L.XL.XXL.3XL,850
7,LEVIS,M.L.XL.2XL.3XL,850
8,CORTA HIDROFUGADA MIEL,38-46,1700
8,CORTA HIDROFUGADA,38-46,1600
8,CORTA NATURAL,38-46,1400
9,ROGER,M.L.XL.2XL.3XL,950
9,NICOLAS,M.L.XL.2XL.3XL,900
10,ABRAHAM,M.L.XL.2XL.3XL,850
10,SUPERMAN,M.L.XL.2XL.3XL,950
11,CAMISOLA,M.L.XL.2XL.3X,850
11,GABARDINA,M.L.XL.2XL.,1200
12,JOCKER,M.L.XL.2XL.3XL,900
12,CESAR,M.L.XL.2XL.3XL,950
13,HECTOR,M.L.XL.2XL.3XL,850
13,SAMMY,M.L.XL.2X.3XL,850
14,ALASKA NTURAL,38-46,1800
14,ALASKA REPELENTE,38-46,1900
15,VAQUERA HIDROFUGADA,38-46,1600
15,MARLBORO NATURAL PUNTAS,38-46,1800
15,MARLBORO HIDROGUGADA,38-46,1700
16,ROBBING,"M.L.XL.2XL,3XL",850
16,ORLANDO,M.L.XL.2XL.3XL,900
17,RUSO,M.L.XL.2XL.3XL,950
17,MARCOS,M.L.XL.2XL.3XL,950
18,LUCCA,M.L.XL.2XL.3XL,850
18,GABRIEL,M.L.XL.2XL.3XL,850
19,REFLEJANTE,M.L.XL.2XL.,950
19,VIPER,M.L.XL.2XL.3XL,850
20,ROCKERA BORREGO,M.L.XL.2XL.,1000
20,ROCKERA ANCA,M.L.XL.2XL,950
20,IKER,M.L.XL.2XL,900
21,LUIS,M.L.XL.2XL.3XL,850
21,SAUL,M.L.XL.2XL.3XL,850
22,ROBERT,M.L.XL.2XL.3XL,850
22,ANDY,M.L.XL.2XL.3XL,850
23,ADVENGER,M.L.XL.2XL.3XL,950
23,BATMAN REFLEJANTE,M.L.XL.2XL.3XL,950
23,BATMAN,M.L.XL.2XL.3XL,950
24,ELIUT,M.L.XL.2XL.3XL,850
24,BLACK,M.L.XL.XXL.3X,850
